repositorio,dependencias_diretas,dependencias_transitivas
jpackage-maven-plugin,14,35
ASCII-Data,1,1
maven-build-scanner,6,33
alfresco-sdk,4,1
properties-maven-plugin,7,34
mosec-maven-plugin,10,46
maven-mvnd,8,103
maven-enforcer,4,34
flatten-maven-plugin,13,37
proguard-spring-boot-example,4,57
RgxGen,6,10
etoolbox-authoring-kit,0,0
kid-bank,17,105
selenium-webdriver-java,0,0
RefactorFirst,7,17
formatter-maven-plugin,24,63
spring-boot-microservices-course,0,0
maven-resources-plugin,16,60
fabric8-maven-plugin,0,0
freemarker-java-8,5,21
impsort-maven-plugin,11,34
maven-build-cache-extension,27,108
MyUploader-Backend,6,61
maven-confluence-plugin,5,27
techbuzz,0,0
maven-clean-plugin,10,62
extra-enforcer-rules,6,40
dependency-lock-maven-plugin,20,38
shop,4,131
java-sdk,3,0
confluence-publisher,11,21
My-Blog,9,71
sign-maven-plugin,14,47
allure-maven,16,70
jakartaee8-starter-boilerplate,5,24
webdrivermanager,17,184
executable-jar-with-maven-example,2,6
maven-resolver,25,72
duplicate-finder-maven-plugin,16,29
maven-compiler-plugin,9,65
keycloak-mail-whitelisting,4,65
testng-java-maven,3,6
maven-jpackage-template,2,10
dockerfile-maven,11,85
junit4-java-maven,4,5
versions,37,57
maven,4,3
docker-maven-plugin,18,85
maven-archetype-springboot,0,0
plantuml-generator,13,16
jaxb2-maven-plugin,17,42
gitflow-helper-maven-plugin,8,40
javaee8-essentials-archetype,0,0
reproducible-build-maven-plugin,6,12
ctenopharyngodon-idella,7,70
proguard-maven-plugin,7,29
java-training-api,8,82
cyclonedx-maven-plugin,16,60
perfect-ssm,31,17
protobuf-maven-plugin,18,83
maven-jar-plugin,12,72
restdocs-spec,11,50
spring-framework-petclinic,35,43
maven-plugin-tools,20,68
wildfly-maven-plugin,2,129
carnotzet,11,9
maven-it-extension,1,0
Angular2AndJavaEE,2,3
exec-maven-plugin,16,39
macosappbundler-maven-plugin,9,33
maven-buildtime-profiler,10,43
gmaven,2,1
carina-demo,10,191
gitflow-maven-plugin,6,62
selenium_BDD_framework,11,43
danyuan-application,0,0
strongbox,0,0
